Skewness,Variance,Curtosis,Entropy,Class
8.6661,3.6216,-2.8073,-0.44699,0
8.1674,4.5459,-2.4586,-1.4621,0
-2.6383,3.866,1.9242,0.10645,0
9.5228,3.4566,-4.0112,-3.5944,0
-4.4552,0.32924,4.5718,-0.9888,0
9.6718,4.3684,-3.9606,-3.1625,0
3.0129,3.5912,0.72888,0.56421,0
-6.81,2.0922,8.4636,-0.60216,0
5.7588,3.2032,-0.75345,-0.61251,0
9.1772,1.5356,-2.2718,-0.73535,0
8.7779,1.2247,-2.2135,-0.80647,0
-2.7066,3.9899,2.3946,0.86291,0
7.6625,1.8993,0.15394,-3.1108,0
10.843,-1.5768,2.5462,-2.9362,0
8.7261,3.404,-2.9915,-0.57242,0
-3.3895,4.6765,3.4896,1.4771,0
3.0646,2.6719,0.37158,0.58619,0
2.8473,0.80355,4.3439,0.6017,0
-4.8794,1.4479,8.3428,-2.1086,0
11.0272,5.2423,-4.353,-4.1013,0
7.8902,5.7867,-2.6196,-0.48708,0
-4.4552,0.3292,4.5718,-0.9888,0
10.1622,3.9362,-3.8235,-4.0172,0
8.8855,0.93584,-1.6831,-1.6599,0
9.887,4.4338,-4.6795,-3.7483,0
-5.4981,0.7057,8.3368,-2.8715,0
-3.7413,1.1432,5.5777,-0.63578,0
8.3909,-0.38214,2.1624,-3.7405,0
9.8187,6.5633,-4.4113,-3.2258,0
-3.3584,4.8906,3.4202,1.0905,0
-0.17797,-0.24811,4.9068,0.15429,0
3.6274,1.4884,3.308,0.48921,0
7.617,4.2969,-2.3874,-0.96164,0
9.4111,-0.96511,1.7305,-4.8629,0
0.80908,-1.6162,8.1628,0.60817,0
6.4417,2.4391,-0.80743,-0.69139,0
6.0195,2.6881,-0.46641,-0.69268,0
0.81322,3.6289,1.6277,0.77627,0
3.1929,4.5679,-2.1055,0.29653,0
9.7008,3.4805,-3.7541,-3.4379,0
8.722,4.1711,-3.0224,-0.59699,0
9.2207,-0.2062,-3.7044,-6.8103,0
9.2931,-0.0068919,-0.41243,-1.9638,0
5.8395,0.96441,2.3235,0.066365,0
