Entropy,Skewness,Variance,Curtosis,Class
-0.44699,8.6661,3.6216,-2.8073,0
-1.4621,8.1674,4.5459,-2.4586,0
0.10645,-2.6383,3.866,1.9242,0
-3.5944,9.5228,3.4566,-4.0112,0
-0.9888,-4.4552,0.32924,4.5718,0
-3.1625,9.6718,4.3684,-3.9606,0
0.56421,3.0129,3.5912,0.72888,0
-0.60216,-6.81,2.0922,8.4636,0
-0.61251,5.7588,3.2032,-0.75345,0
-0.73535,9.1772,1.5356,-2.2718,0
-0.80647,8.7779,1.2247,-2.2135,0
0.86291,-2.7066,3.9899,2.3946,0
-3.1108,7.6625,1.8993,0.15394,0
-2.9362,10.843,-1.5768,2.5462,0
-0.57242,8.7261,3.404,-2.9915,0
1.4771,-3.3895,4.6765,3.4896,0
0.58619,3.0646,2.6719,0.37158,0
0.6017,2.8473,0.80355,4.3439,0
-2.1086,-4.8794,1.4479,8.3428,0
-4.1013,11.0272,5.2423,-4.353,0
-0.48708,7.8902,5.7867,-2.6196,0
-0.9888,-4.4552,0.3292,4.5718,0
-4.0172,10.1622,3.9362,-3.8235,0
-1.6599,8.8855,0.93584,-1.6831,0
-3.7483,9.887,4.4338,-4.6795,0
-2.8715,-5.4981,0.7057,8.3368,0
-0.63578,-3.7413,1.1432,5.5777,0
-3.7405,8.3909,-0.38214,2.1624,0
-3.2258,9.8187,6.5633,-4.4113,0
1.0905,-3.3584,4.8906,3.4202,0
0.15429,-0.17797,-0.24811,4.9068,0
0.48921,3.6274,1.4884,3.308,0
-0.96164,7.617,4.2969,-2.3874,0
-4.8629,9.4111,-0.96511,1.7305,0
0.60817,0.80908,-1.6162,8.1628,0
-0.69139,6.4417,2.4391,-0.80743,0
-0.69268,6.0195,2.6881,-0.46641,0
0.77627,0.81322,3.6289,1.6277,0
0.29653,3.1929,4.5679,-2.1055,0
-3.4379,9.7008,3.4805,-3.7541,0
-0.59699,8.722,4.1711,-3.0224,0
-6.8103,9.2207,-0.2062,-3.7044,0
-1.9638,9.2931,-0.0068919,-0.41243,0
0.066365,5.8395,0.96441,2.3235,0
0.48403,6.9176,2.8561,-0.79372,0
-7.5034,9.5663,-0.7869,-3.7867,0
-2.2134,6.6258,2.0843,0.48382,0
-7.5034,9.5663,-0.7869,-3.7867,0
-0.68234,6.065,3.9102,-2.4534,0
0.087054,3.286,1.6349,2.8753,0
-0.5776,-4.8835,4.3239,3.4356,0
1.0103,3.9834,5.262,-1.5572,0
-1.4944,5.825,3.1452,-0.51439,0
-1.2371,6.1499,2.549,-1.1605,0
-0.50648,5.496,4.9264,-2.4774,0
1.1875,0.80287,4.8265,1.6371,0
0.38576,6.7769,2.5635,-0.61979,0
0.43878,5.0097,5.807,-2.2384,0
0.98963,-4.1096,3.1377,4.5701,0
-7.0495,11.3603,-0.78289,-0.37644,0
-0.24398,0.44696,2.888,4.5907,0
-0.47156,5.527,0.49665,1.7785,0
-4.3457,11.2962,4.2586,-4.0943,0
-0.26079,-1.1174,1.7939,1.5454,0
1.5651,3.1039,5.4021,-1.1536,0
0.20085,2.599,2.5367,2.0938,0
0.31981,-4.0765,4.6054,2.7587,0
-2.7746,9.5332,2.4235,-3.0789,0
-2.6608,7.7846,1.0009,-0.28219,0
-2.4332,8.9848,0.12326,-0.9351,0
0.48274,-2.3548,3.9529,2.3792,0
1.8276,0.49248,4.1373,1.093,0
-3.8582,10.0153,4.7181,-3.9486,0
1.0879,-3.4495,4.1654,3.643,0
-4.4271,10.9072,4.4069,-4.5775,0
0.41938,3.5364,2.3066,0.57551,0
-1.872,7.9853,3.7935,-2.5477,0
-0.72113,6.1437,0.049175,1.7828,0
-0.87371,7.6439,0.24835,0.9885,0
0.84351,3.9647,1.1317,3.3979,0
-1.0224,9.0862,2.8033,-3.3668,0
0.83058,2.2907,4.4682,0.95766,0
-1.281,8.5978,5.0185,-2.9375,0
-2.9634,7.7763,1.8664,-0.23849,0
0.86937,6.63,3.245,-0.63435,0
0.71679,2.6756,4.0296,0.80685,0
1.022,1.9037,-1.1313,7.5339,0
-0.17156,6.8141,0.87603,0.84198,0
0.67412,-2.7956,4.1197,2.0707,0
1.0245,0.81529,3.8027,2.1041,0
-1.0341,7.6377,1.4806,-2.7876,0
0.39481,3.584,4.0632,0.72545,0
-1.4336,8.2068,4.3064,-2.7824,0
0.20602,-6.3175,2.4486,7.9632,0
0.61334,1.7837,3.2718,2.1161,0
-2.7099,-4.6062,-0.64472,8.347,0
0.89394,1.076,2.9543,0.64577,0
-0.081048,-6.8804,2.1616,8.1517,0
-5.0284,10.9279,3.82,-4.0112,0
-5.5793,11.4038,-2.7419,2.5394,0
-1.1427,-5.1856,3.3669,3.6935,0
1.6168,-2.4211,4.5597,2.6413,0
1.1189,-0.49871,5.1129,0.62863,0
-0.23751,-4.6145,3.3397,3.9823,0
0.97282,0.22761,4.2027,0.96108,0
2.1547,1.2395,3.5438,1.997,0
-4.7672,10.6651,2.3136,-3.5288,0
-1.8384,7.886,-1.8584,-1.6643,0
-4.003,9.5414,3.106,-4.2536,0
-4.122,10.8306,2.9163,-3.3437,0
-0.1095,-4.4676,3.9922,3.7304,0
-0.026738,5.6946,1.518,0.094818,0
-2.5948,9.647,3.2351,-3.2074,0
0.76076,6.8162,4.2188,-1.2804,0
-1.5759,6.9176,1.7819,-1.2744,0
-0.12243,2.9135,2.5331,-0.822,0
0.14007,7.4163,3.8969,-1.8245,0
0.4905,6.7955,2.108,-0.1708,0
1.8663,0.70768,2.8969,2.29,0
-0.2957,-3.7971,0.9297,4.6429,0
-4.109,10.6878,3.4642,-3.4071,0
-4.7582,10.4023,4.0713,-4.1722,0
-5.1241,9.1214,-1.4572,1.7425,0
0.89136,1.9224,-1.5075,7.1466,0
-5.2263,9.9884,-0.91718,1.1804,0
0.3211,7.2011,2.994,-1.2153,0
-5.9426,12.9516,-2.343,3.3285,0
-0.15734,-2.8846,3.7818,2.2558,0
1.909,1.3098,4.6689,0.055404,0
1.3388,1.1112,3.4663,1.7425,0
-0.29829,-4.3414,3.2697,3.6884,0
-1.5086,8.6703,5.1302,-2.8913,0
0.56938,6.1416,2.0139,0.37929,0
-0.40432,5.5395,0.4339,2.033,0
-5.3336,9.3987,-1.0401,0.85998,0
-4.0819,11.2196,4.1605,-3.6136,0
-3.9202,9.4669,5.438,-4.9417,0
-1.0341,8.2026,5.032,-2.6256,0
-4.2797,10.5388,5.2418,-4.1174,0
-6.8103,9.2207,-0.2062,-3.7044,0
1.234,0.94358,2.0911,4.5512,0
-0.99138,-0.34765,1.7317,4.1905,0
0.60429,3.3336,4.1736,-1.4244,0
0.83705,-3.2467,3.9232,3.4579,0
-4.2228,10.1539,3.8481,-3.8561,0
-0.9849,-3.2633,0.5195,3.0895,0
1.7008,0.78425,3.8584,1.1033,0
1.2922,-0.1759,1.7496,5.1827,0
0.63403,0.9829,3.6277,0.68861,0
-2.5302,7.4018,2.7391,0.071684,0
-1.5875,8.2274,4.5447,-2.4166,0
-3.3241,11.9211,-1.7599,2.6756,0
1.2095,0.21313,5.0691,0.20278,0
-5.0931,11.112,3.4591,-4.2039,0
-2.2586,8.1654,1.9358,-0.023425,0
-0.15475,-0.99533,2.486,5.3404,0
0.21507,-4.5752,2.4226,5.947,0
0.019813,-3.7723,3.9479,2.883,0
-0.61251,-4.4862,2.2634,3.6558,0
0.3211,4.2358,1.3566,2.1341,0
0.86291,3.8964,5.0452,-1.4304,0
-1.2009,8.6165,3.5499,-3.2794,0
-3.7883,7.8695,0.17346,0.26876,0
-3.3526,9.3593,2.4008,-3.3565,0
1.6401,1.5995,4.8851,-0.00029081,0
0.21766,-3.2674,4.1927,2.5839,0
-1.8112,8.6496,1.1166,-0.96252,0
-2.7125,6.901,1.0235,-2.0062,0
-5.2728,11.8818,-1.803,2.0458,0
-2.4746,6.2761,0.11739,-1.5495,0
-0.5621,-0.0248,0.5706,1.2421,0
1.0323,-2.4583,4.0552,2.2806,0
0.94955,1.0657,-1.6952,8.8294,0
-5.6504,10.7271,-1.1193,2.0938,0
0.37671,2.4707,1.8799,2.4931,0
-0.12501,-3.7971,3.583,3.4391,0
-5.8224,9.1297,0.19081,-3.725,0
-0.23751,5.6864,3.6582,-1.7157,0
0.35214,-1.7775,-0.13144,8.3316,0
-2.8224,9.798,2.3925,-3.0361,0
-0.147,3.0149,1.6426,0.22849,0
-0.028031,-1.5789,-0.11783,8.03,0
-4.3289,8.6165,-0.69572,1.8419,0
-0.88406,7.4101,2.9421,-0.97709,0
-4.8978,11.9459,-1.7559,3.0946,0
-4.3237,10.8803,-1.2537,1.931,0
-0.15087,-4.4614,3.2585,3.8024,0
0.049554,6.3672,1.8314,-0.036278,0
0.27714,-3.6275,4.5645,2.8684,0
-0.57889,-5.0325,2.7365,6.6608,0
-0.2957,-3.7971,0.9297,4.6429,0
-4.6056,10.1684,3.9663,-4.1131,0
0.59136,-0.08485,1.4578,4.1785,0
0.80731,3.0687,4.8272,0.68604,0
-7.5836,12.3784,-2.341,0.70403,0
-1.8384,7.886,-1.8584,-1.6643,0
-0.86078,7.257,4.1454,-1.9153,0
-2.0116,6.0816,1.9157,0.23705,0
1.1409,-2.1914,4.0215,2.4648,0
-0.30087,5.8747,5.8862,-2.8167,0
-3.4198,10.8265,-2.0897,2.3603,0
0.26809,-3.5943,4.0026,3.5573,0
-7.5034,9.5663,-0.78689,-3.7867,0
-4.3056,10.2615,4.1757,-3.8552,0
-0.92544,7.5404,0.83292,0.65005,0
1.5534,2.2327,4.8077,-0.26334,0
-0.52716,5.2684,5.3063,-2.8904,0
